epoch;r2;mse;phm
0;-2.2820114602897146;9762.73046875;187832369152.0
1;-2.2820114602897146;9762.73046875;187832369152.0
2;-2.2820114602897146;9762.73046875;187832369152.0
3;-2.2820114602897146;9762.73046875;187832369152.0
4;-2.2820114602897146;9762.73046875;187832369152.0
5;-2.2820114602897146;9762.73046875;187832369152.0
6;-2.2820114602897146;9762.73046875;187832369152.0
7;-2.2820114602897146;9762.73046875;187832369152.0
8;-2.2820114602897146;9762.73046875;187832369152.0
9;-2.2820114602897146;9762.73046875;187832369152.0
10;-2.2820114602897146;9762.73046875;187832369152.0
11;-2.2820114602897146;9762.73046875;187832369152.0
12;-2.2820114602897146;9762.73046875;187832369152.0
13;-2.2820114602897146;9762.73046875;187832369152.0
14;-2.2820114602897146;9762.73046875;187832369152.0
15;-2.2820114602897146;9762.73046875;187832369152.0
16;-2.2820114602897146;9762.73046875;187832369152.0
17;-2.2820114602897146;9762.73046875;187832369152.0
18;-2.2820114602897146;9762.73046875;187832369152.0
19;-2.2820114602897146;9762.73046875;187832369152.0
20;-2.2820114602897146;9762.73046875;187832369152.0
21;-2.2820114602897146;9762.73046875;187832369152.0
22;-2.2820114602897146;9762.73046875;187832369152.0
23;-2.2820114602897146;9762.73046875;187832369152.0
24;-2.2820114602897146;9762.73046875;187832369152.0
25;-2.2820114602897146;9762.73046875;187832369152.0
26;-2.2820114602897146;9762.73046875;187832369152.0
27;-2.2820114602897146;9762.73046875;187832369152.0
28;-2.2820114602897146;9762.73046875;187832369152.0
29;-2.2820114602897146;9762.73046875;187832369152.0
30;-2.2820114602897146;9762.73046875;187832369152.0
31;-2.2820114602897146;9762.73046875;187832369152.0
32;-2.2820114602897146;9762.73046875;187832369152.0
33;-2.2820114602897146;9762.73046875;187832369152.0
34;-2.2820114602897146;9762.73046875;187832369152.0
35;-2.2820114602897146;9762.73046875;187832369152.0
36;-2.2820114602897146;9762.73046875;187832369152.0
37;-2.2820114602897146;9762.73046875;187832369152.0
38;-2.2820114602897146;9762.73046875;187832369152.0
39;-2.2820114602897146;9762.73046875;187832369152.0
40;-2.2820114602897146;9762.73046875;187832369152.0
41;-2.2820114602897146;9762.73046875;187832369152.0
42;-2.2820114602897146;9762.73046875;187832369152.0
43;-2.2820114602897146;9762.73046875;187832369152.0
44;-2.2820114602897146;9762.73046875;187832369152.0
45;-2.2820114602897146;9762.73046875;187832369152.0
46;-2.2820114602897146;9762.73046875;187832369152.0
47;-2.2820114602897146;9762.73046875;187832369152.0
48;-2.2820114602897146;9762.73046875;187832369152.0
49;-2.2820114602897146;9762.73046875;187832369152.0
