epoch;r2;mse;phm
0;-2.9683761412978154;11439.5576171875;2118555392.0
1;-1.1336893485553752;6150.74267578125;4203949568.0
2;0.14607354107752923;2461.596923828125;270088978432.0
3;0.6093576295815013;1126.096923828125;421979584.0
4;0.6175314331003539;1102.534423828125;136598592.0
5;0.6447759055532831;1023.997314453125;802605888.0
6;0.6701641093122981;950.8113403320312;352252992.0
7;0.6727131293255064;943.4632568359375;395178112.0
8;0.6782330898629085;927.551025390625;562814720.0
9;0.6748835036876099;937.206787109375;401646304.0
10;0.6702229307690295;950.6417236328125;309254144.0
11;0.666941649056262;960.1005249023438;270882400.0
12;0.6684676529239764;955.70166015625;303085280.0
13;0.6675495083616921;958.3485107421875;320018176.0
14;0.6481377007812221;1014.306396484375;190475840.0
15;0.6679782950033599;957.1123657226562;418202688.0
16;0.6610599632483455;977.0556030273438;281541920.0
17;0.6558056762901656;992.2020874023438;235084240.0
18;0.6588645489006562;983.3843994140625;274773280.0
19;0.6608109567540688;977.7734375;322251840.0
20;0.6547020058459605;995.383544921875;251036864.0
21;0.6512090939762697;1005.4525146484375;245929024.0
22;0.6560850734902474;991.3966674804688;603348032.0
23;0.6452786732516056;1022.5480346679688;226219536.0
24;0.6520180085202953;1003.1207275390625;314620736.0
25;0.6510770264660612;1005.8333740234375;328371008.0
26;0.6438696595866941;1026.60986328125;249647456.0
27;0.6478379924445727;1015.17041015625;287003712.0
28;0.6496668029114923;1009.8984985351562;320529760.0
29;0.6410860724509968;1034.6339111328125;241613984.0
30;0.6447140945571985;1024.1756591796875;274627456.0
31;0.6420701799081865;1031.7969970703125;253955600.0
32;0.6434946624202209;1027.69091796875;301769792.0
33;0.641754152234876;1032.7081298828125;289522976.0
34;0.6420843000102405;1031.7564697265625;284468832.0
35;0.6420412643879922;1031.8804931640625;284162368.0
36;0.6445071818122599;1024.7720947265625;317679424.0
37;0.6302027460350204;1066.0072021484375;208107072.0
38;0.6427595116859433;1029.81005859375;287024320.0
39;0.6478460730566603;1015.1470336914062;392548608.0
40;0.64789389411342;1015.0092163085938;422090816.0
41;0.6288251330237407;1069.9783935546875;193421744.0
42;0.6402532920490105;1037.0345458984375;265113008.0
43;0.6457918191561764;1021.06884765625;483725184.0
44;0.6363184896711322;1048.37744140625;233642144.0
45;0.6365601043883745;1047.680908203125;234791408.0
46;0.6379791069719679;1043.59033203125;258855680.0
47;0.6442193711343003;1025.6016845703125;446969216.0
48;0.6330967745636794;1057.66455078125;221666912.0
49;0.6357036001474899;1050.1500244140625;244043072.0
