epoch;r2;mse;phm
0;-2.285007337298336;9860.9599609375;156198797312.0
1;-2.285007337298336;9860.9599609375;156198797312.0
2;-2.285007337298336;9860.9599609375;156198797312.0
3;-2.285007337298336;9860.9599609375;156198797312.0
4;-2.285007337298336;9860.9599609375;156198797312.0
5;-2.285007337298336;9860.9599609375;156198797312.0
6;-2.285007337298336;9860.9599609375;156198797312.0
7;-2.285007337298336;9860.9599609375;156198797312.0
8;-2.285007337298336;9860.9599609375;156198797312.0
9;-2.285007337298336;9860.9599609375;156198797312.0
10;-2.285007337298336;9860.9599609375;156198797312.0
11;-2.285007337298336;9860.9599609375;156198797312.0
12;-2.285007337298336;9860.9599609375;156198797312.0
13;-2.285007337298336;9860.9599609375;156198797312.0
14;-2.285007337298336;9860.9599609375;156198797312.0
15;-2.285007337298336;9860.9599609375;156198797312.0
16;-2.285007337298336;9860.9599609375;156198797312.0
17;-2.285007337298336;9860.9599609375;156198797312.0
18;-2.285007337298336;9860.9599609375;156198797312.0
19;-2.285007337298336;9860.9599609375;156198797312.0
20;-2.285007337298336;9860.9599609375;156198797312.0
21;-2.285007337298336;9860.9599609375;156198797312.0
22;-2.285007337298336;9860.9599609375;156198797312.0
23;-2.285007337298336;9860.9599609375;156198797312.0
24;-2.285007337298336;9860.9599609375;156198797312.0
25;-2.285007337298336;9860.9599609375;156198797312.0
26;-2.285007337298336;9860.9599609375;156198797312.0
27;-2.285007337298336;9860.9599609375;156198797312.0
28;-2.285007337298336;9860.9599609375;156198797312.0
29;-2.285007337298336;9860.9599609375;156198797312.0
30;-2.285007337298336;9860.9599609375;156198797312.0
31;-2.285007337298336;9860.9599609375;156198797312.0
32;-2.285007337298336;9860.9599609375;156198797312.0
33;-2.285007337298336;9860.9599609375;156198797312.0
34;-2.285007337298336;9860.9599609375;156198797312.0
35;-2.285007337298336;9860.9599609375;156198797312.0
36;-2.285007337298336;9860.9599609375;156198797312.0
37;-2.285007337298336;9860.9599609375;156198797312.0
38;-2.285007337298336;9860.9599609375;156198797312.0
39;-2.285007337298336;9860.9599609375;156198797312.0
40;-2.285007337298336;9860.9599609375;156198797312.0
41;-2.285007337298336;9860.9599609375;156198797312.0
42;-2.285007337298336;9860.9599609375;156198797312.0
43;-2.285007337298336;9860.9599609375;156198797312.0
44;-2.285007337298336;9860.9599609375;156198797312.0
45;-2.285007337298336;9860.9599609375;156198797312.0
46;-2.285007337298336;9860.9599609375;156198797312.0
47;-2.285007337298336;9860.9599609375;156198797312.0
48;-2.285007337298336;9860.9599609375;156198797312.0
49;-2.285007337298336;9860.9599609375;156198797312.0
