epoch;r2;mse;phm
0;-0.2230982910105792;3567.42724609375;10011957.0
1;-0.2239427953260278;3569.890625;8183873.0
2;-0.2615180807530144;3679.48681640625;7987861.0
3;-0.28220212500193886;3739.816650390625;7975877.0
4;-0.29296575996128493;3771.2109375;7981206.5
5;-0.2976492949362568;3784.871337890625;7963936.0
6;-0.29865483871177667;3787.803955078125;7920812.5
7;-0.29748614055430345;3784.395263671875;7858052.0
8;-0.29482886181599977;3776.64501953125;7778316.5
9;-0.291106150156321;3765.786865234375;7686000.0
10;-0.28684574790935335;3753.360595703125;7589602.0
11;-0.2823608565857141;3740.27978515625;7493544.0
12;-0.2777482288496136;3726.825927734375;7398769.0
13;-0.2730454230909243;3713.108642578125;7305614.0
14;-0.2682833136316607;3699.219482421875;7214480.5
15;-0.26349330186527853;3685.248046875;7125816.0
16;-0.25870461833215264;3671.2802734375;7040022.0
17;-0.25394148341334466;3657.38818359375;6957399.5
18;-0.2492236491231481;3643.62744140625;6878166.0
19;-0.2445688035751361;3630.050537109375;6802488.5
20;-0.23999164882053825;3616.70068359375;6730478.5
21;-0.23550645592602315;3603.618408203125;6662217.5
22;-0.23112467621972876;3590.838134765625;6597735.0
23;-0.22685668470917997;3578.3896484375;6537024.0
24;-0.22270976404537657;3566.29443359375;6480035.5
25;-0.21869088067704956;3554.572509765625;6426702.5
26;-0.21480383593925811;3543.235107421875;6376916.0
27;-0.21105196917814562;3532.29150390625;6330560.0
28;-0.20743644585597898;3521.746337890625;6287498.0
29;-0.20395892309799346;3511.603759765625;6247600.0
30;-0.2006193249178685;3501.862548828125;6210713.5
31;-0.19741767036725855;3492.5244140625;6176697.0
32;-0.1943530976951915;3483.585693359375;6145397.0
33;-0.19142340005647585;3475.041015625;6116648.0
34;-0.1886265908945013;3466.883056640625;6090294.0
35;-0.18595952815476346;3459.1044921875;6066170.0
36;-0.18341703739299087;3451.68896484375;6044102.0
37;-0.1809939986299427;3444.621337890625;6023923.5
38;-0.1786837004794728;3437.8828125;6005470.5
39;-0.17647866003950186;3431.450927734375;5988582.5
40;-0.1743705809003966;3425.302490234375;5973110.5
41;-0.1723513832612411;3419.413330078125;5958920.5
42;-0.17041225933287163;3413.7568359375;5945887.0
43;-0.1685441483618093;3408.30908203125;5933896.5
44;-0.16673921648338097;3403.0439453125;5922859.0
45;-0.16498810397987373;3397.9365234375;5912678.5
46;-0.16328273978253272;3392.96240234375;5903284.0
47;-0.16161542145400576;3388.099365234375;5894610.5
48;-0.15997928785961624;3383.3271484375;5886605.0
49;-0.1583664068970143;3378.62353515625;5879215.0
