epoch;r2;mse;phm
0;-0.43562793293631796;4177.14599609375;9477431.0
1;-0.32942600657254295;3868.13818359375;7783505.5
2;-0.32250451892656873;3847.9990234375;7579794.0
3;-0.31394680219429416;3823.09912109375;7408983.5
4;-0.30575413277750463;3799.26123046875;7275152.0
5;-0.2999947129065228;3782.503662109375;7170981.5
6;-0.3192850762256454;3838.631591796875;7378435.5
7;-0.2950795229966485;3768.202392578125;7081385.5
8;-0.27985754464000356;3723.911865234375;6935028.0
9;-0.272762245871619;3703.267578125;6869414.0
10;-0.26782743043590096;3688.908447265625;6825323.5
11;-0.2642543627681919;3678.512451171875;6793967.0
12;-0.2624885029427213;3673.374267578125;6775417.5
13;-0.26220459167359533;3672.548095703125;6765788.0
14;-0.25912920887122826;3663.60009765625;6742566.0
15;-0.2529202638690855;3645.53466796875;6708832.0
16;-0.24810975347848596;3631.537109375;6685923.0
17;-0.24497677818830432;3622.421875;6671668.0
18;-0.24278655233063606;3616.048828125;6661850.5
19;-0.24129731908639118;3611.7158203125;6654897.0
20;-0.24049410738540744;3609.379150390625;6650201.0
21;-0.23998314938114218;3607.891845703125;6646612.0
22;-0.23849662398458293;3603.567138671875;6641654.0
23;-0.23577858965889376;3595.658447265625;6635483.0
24;-0.23323184014944487;3588.248046875;6630641.0
25;-0.23140880749249404;3582.944091796875;6627364.0
26;-0.2301470371929284;3579.272705078125;6625023.5
27;-0.2293245619979507;3576.8798828125;6623218.0
28;-0.2280303448392451;3573.114013671875;6621867.0
29;-0.2255400253810027;3565.8681640625;6621701.0
30;-0.22426770393215922;3562.166015625;6621771.0
31;-0.2277696853495641;3572.35595703125;6620825.5
32;-0.25064581967548794;3638.9169921875;6665696.5
33;-0.23206703929439332;3584.859130859375;6619041.0
34;-0.22106668560505294;3552.852294921875;6624587.0
35;-0.21950096340951886;3548.296142578125;6627030.0
36;-0.21842391211402057;3545.16259765625;6628923.5
37;-0.21764594870922327;3542.8994140625;6630539.0
38;-0.21754146696031418;3542.59521484375;6630850.0
39;-0.21931977917369827;3547.769775390625;6627056.5
40;-0.22344026778254733;3559.7587890625;6619707.0
41;-0.222898946469547;3558.183349609375;6620119.5
42;-0.21650968801128667;3539.593017578125;6633098.0
43;-0.21335419469142436;3530.41162109375;6640978.0
44;-0.2111512107388127;3524.00146484375;6647274.0
45;-0.209686461263497;3519.74072265625;6654171.5
46;-0.21035336181178543;3521.680419921875;6654313.0
47;-0.21528011577739892;3536.015380859375;6638354.0
48;-0.22643160094346282;3568.462158203125;6614654.5
49;-0.2252292948311332;3564.9638671875;6616353.0
