epoch;r2;mse;phm
0;0.6752347102954342;910.5079956054688;9587318784.0
1;0.6277293485178865;1043.6934814453125;7920072192.0
2;0.4469051205960166;1550.649658203125;6623305728.0
3;0.5946171919437501;1136.526123046875;6907576320.0
4;0.7053243448327788;826.1490478515625;7556734976.0
5;-0.49279465954409263;4185.18017578125;21316116480.0
6;0.6943297546051067;856.9732666015625;6478887936.0
7;0.6156665195420228;1077.5126953125;6999500800.0
8;0.5926545626654955;1142.028564453125;6143224832.0
9;0.6803488739315273;896.1698608398438;6370411008.0
10;0.6931299935307538;860.3368530273438;6554712064.0
11;0.6995699262831055;842.281982421875;7640265216.0
12;0.6998342599566809;841.541015625;6163424256.0
13;0.6190682404427669;1067.9755859375;6155061760.0
14;0.5431905754871881;1280.7052001953125;6304904704.0
15;0.6250336092378179;1051.2509765625;6576462848.0
16;0.7080521358197459;818.5014038085938;6064882688.0
17;0.6435677413136802;999.2890625;6261312512.0
18;0.6830685457008071;888.5451049804688;5810704896.0
19;0.4689270734058263;1488.9095458984375;6182747136.0
20;0.4890612788443448;1432.46142578125;6250910720.0
21;0.6932982367234158;859.8651733398438;5929711616.0
22;0.6900326385215639;869.0206909179688;5943429120.0
23;0.4471713045320508;1549.9034423828125;6654971904.0
24;0.6870979469636467;877.2484130859375;5890345984.0
25;0.5955074985253997;1134.030029296875;5971900416.0
26;0.7008782132612394;838.6141357421875;7237642752.0
27;0.6806081824315708;895.44287109375;7335651840.0
28;0.6027646114528187;1113.68408203125;5864850944.0
29;0.6729210399997766;916.9945068359375;6328494080.0
30;0.49344569749537204;1420.169189453125;5854723072.0
31;0.5478860432956154;1267.5411376953125;6317297664.0
32;0.5962912135109781;1131.8330078125;5915408384.0
33;0.7074127051798683;820.2941284179688;6624356864.0
34;0.7044227176973787;828.6766967773438;6799937536.0
35;0.5859848911119502;1160.7276611328125;6501712896.0
36;0.6627308815098137;945.5634155273438;6747022336.0
37;0.6218877110395039;1060.07080078125;5596441088.0
38;0.6593355654901044;955.08251953125;6425907200.0
39;0.6295840940355677;1038.493408203125;5347349504.0
40;0.6547584981698937;967.9148559570312;6431743488.0
41;0.6947304675121752;855.8497924804688;6574122496.0
42;0.5245657397671821;1332.9215087890625;6482412032.0
43;0.5704213374495177;1204.361328125;5876986880.0
44;0.6455114009370502;993.8396606445312;5840210944.0
45;0.6256560612164169;1049.5059814453125;6566553088.0
46;0.6599454859098108;953.3726806640625;7006888960.0
47;0.6186756138517013;1069.0762939453125;6644316672.0
48;0.5786381562999735;1181.3248291015625;6204296192.0
49;0.514338519288466;1361.5943603515625;7074697216.0
