epoch;r2;mse;phm
0;-2.406633133593615;10553.0341796875;233508864000.0
1;0.6399455228472966;1115.373046875;15554644992.0
2;0.676797367945624;1001.2138061523438;16978342912.0
3;0.6271491491025025;1155.013427734375;7734503424.0
4;0.6573940188787025;1061.3212890625;8739969024.0
5;0.6563567169069303;1064.5345458984375;17742333952.0
6;0.6453528137325525;1098.6224365234375;4862058496.0
7;0.6608206313615781;1050.706298828125;9953912832.0
8;0.6637493594266964;1041.6337890625;6333933056.0
9;0.6446306137603066;1100.8594970703125;15498413056.0
10;0.6571646306594723;1062.0318603515625;12490937344.0
11;0.6594638872767651;1054.9093017578125;19301564416.0
12;0.6631098126989499;1043.6148681640625;7701406208.0
13;0.6327674818435287;1137.6090087890625;9438926848.0
14;0.653876705490073;1072.21728515625;14413009920.0
15;0.5493431693696514;1396.0401611328125;10169043968.0
16;0.6651383123357388;1037.3310546875;11304473600.0
17;0.6498332082319334;1084.7431640625;10984423424.0
18;0.6568904628009775;1062.8812255859375;11203938304.0
19;0.647994275895692;1090.439697265625;14264676352.0
20;0.625162687948636;1161.1671142578125;8168363520.0
21;0.6228888182255583;1168.211181640625;9215301632.0
22;0.6609547379114061;1050.291015625;12960719872.0
23;0.6710064161813172;1019.1528930664062;6520988672.0
24;0.6373445283150156;1123.4302978515625;9035585536.0
25;0.664578951110335;1039.0638427734375;11742651392.0
26;0.6621400967121714;1046.618896484375;8840480768.0
27;0.6673983380643483;1030.3299560546875;13999638528.0
28;0.6516288345043617;1079.1806640625;4216703232.0
29;0.6509448349610278;1081.2994384765625;12204732416.0
30;0.6268236375324825;1156.021728515625;18838126592.0
31;0.644257607061334;1102.01513671875;12395063296.0
32;0.6373475664575218;1123.4208984375;16667053056.0
33;0.5846269219701913;1286.7384033203125;9021062144.0
34;0.6637623988245821;1041.59326171875;9198203904.0
35;0.6162592030314056;1188.7481689453125;19585918976.0
36;0.6437697949554588;1103.5263671875;9203428352.0
37;0.6548678998625557;1069.1466064453125;7769268224.0
38;0.6440105227419216;1102.780517578125;10455738368.0
39;0.6439906560298281;1102.8421630859375;2966171648.0
40;0.6540214713049473;1071.768798828125;6363580928.0
41;0.6567383110078041;1063.3524169921875;14719384576.0
42;0.6246463973974483;1162.7664794921875;7857118720.0
43;0.5772955469051009;1309.4493408203125;7581175808.0
44;0.62401064882484;1164.7359619140625;10332086272.0
45;0.6474834461704446;1092.02197265625;14125174784.0
46;0.6503346645091592;1083.1895751953125;8052124160.0
47;0.6147210156214749;1193.51318359375;5825435648.0
48;0.6268561151020906;1155.921142578125;9649524736.0
49;0.6151912336143555;1192.056640625;12371532800.0
