epoch;r2;mse;phm
0;0.27802934858460426;1999.3245849609375;9108846592.0
1;0.5019638734268674;1379.1915283203125;5919237120.0
2;0.609035014569888;1082.6837158203125;7304530944.0
3;0.5526106733411131;1238.937255859375;3471629824.0
4;0.5934666840135361;1125.7965087890625;5142807552.0
5;0.5967089327357076;1116.81787109375;13736134656.0
6;0.5515766129799782;1241.8009033203125;4009576448.0
7;0.5688666325197971;1193.92041015625;2477230592.0
8;0.5687493448250349;1194.2452392578125;6090834944.0
9;0.6101578122247706;1079.5743408203125;5395493888.0
10;0.5476228051369427;1252.75;4445499904.0
11;0.5224152846301402;1322.5562744140625;7515431936.0
12;0.6134684284730954;1070.4063720703125;5771319296.0
13;0.6115404168687831;1075.74560546875;5141217280.0
14;0.6090149943397668;1082.739013671875;3068350976.0
15;0.6172967565046729;1059.8048095703125;4756397056.0
16;0.558088680445612;1223.7674560546875;8664202240.0
17;0.6016363790193227;1103.17236328125;5613757440.0
18;0.6080353794157876;1085.451904296875;2526551040.0
19;0.604579132017337;1095.023193359375;6848250368.0
20;0.5758679595784175;1174.5318603515625;3359331840.0
21;0.6108514166079577;1077.6534423828125;2654734336.0
22;0.5898462569368832;1135.8223876953125;2930071040.0
23;0.5004346352615401;1383.4263916015625;5020925952.0
24;0.5845730551904452;1150.42529296875;3662484224.0
25;0.5809902615353018;1160.3470458984375;18140868608.0
26;0.6183721848010311;1056.82666015625;7017134080.0
27;0.5969383607512437;1116.1824951171875;7693928960.0
28;0.6263434782600055;1034.7520751953125;6647383040.0
29;0.5140505979875459;1345.72021484375;11830019072.0
30;0.6227528810051917;1044.6953125;3881225216.0
31;0.5949846348094306;1121.5928955078125;7306488832.0
32;0.6058955883859105;1091.3775634765625;4046616576.0
33;0.5921609508255932;1129.412353515625;5292826624.0
34;0.5944168732685249;1123.1650390625;3609103872.0
35;0.6100286650269756;1079.9320068359375;7211814912.0
36;0.5762719738645927;1173.4129638671875;5435707392.0
37;0.6091330589692165;1082.4122314453125;4271735040.0
38;0.6124730496659272;1073.162841796875;7826471424.0
39;0.6099437299105275;1080.1671142578125;4011479040.0
40;0.5522247180028235;1240.0062255859375;3804934144.0
41;0.5987125797494344;1111.2691650390625;2913704448.0
42;0.6008085274850923;1105.4649658203125;2371736064.0
43;0.60729473054891;1087.5029296875;3784840960.0
44;0.6169283233813432;1060.8250732421875;6202971136.0
45;0.6072442259181634;1087.642822265625;6007173120.0
46;0.6159894821284062;1063.425048828125;15436566528.0
47;0.6184288638386881;1056.6695556640625;6907016704.0
48;0.5708927245715536;1188.3095703125;4629531648.0
49;0.6413068970551145;993.314453125;5301860864.0
