epoch;r2;mse;phm
0;-3.068089352886272;11917.9560546875;170993139712.0
1;0.6117611226475662;1137.392333984375;4776650240.0
2;0.6212442387870291;1109.6103515625;8853611520.0
3;0.6307769513476815;1081.6832275390625;8680999936.0
4;0.6449360549124782;1040.202392578125;6696833024.0
5;0.6446358768695086;1041.0819091796875;7910228480.0
6;0.5788899526307215;1233.6923828125;2709127424.0
7;0.652943403358927;1016.743896484375;4743688192.0
8;0.5671310869090869;1268.141357421875;28222271488.0
9;0.5887940260891721;1204.67724609375;4058612736.0
10;0.6541646508879954;1013.1661987304688;6115508224.0
11;0.6496796245598953;1026.3056640625;8155399680.0
12;0.6253135481325334;1097.68896484375;4475872768.0
13;0.6102879196691399;1141.708251953125;7961600512.0
14;0.6448201242123157;1040.5421142578125;5518812160.0
15;0.6255321692705175;1097.0484619140625;7394370560.0
16;0.6129549928349856;1133.8948974609375;11156892672.0
17;0.6435417251474016;1044.2872314453125;14313389056.0
18;0.5978240384577258;1178.2227783203125;1313371392.0
19;0.6566975679317;1005.74560546875;3096636416.0
20;0.5895413963231235;1202.48779296875;7501810176.0
21;0.5671208473629492;1268.17138671875;3398103296.0
22;0.6014953682171789;1167.46728515625;3559437056.0
23;0.6508016917758779;1023.018310546875;12498271232.0
24;0.6333002736069224;1074.290771484375;18001500160.0
25;0.6456613923844687;1038.0775146484375;8553291264.0
26;0.6415756508486403;1050.0472412109375;6071484416.0
27;0.6473603810383557;1033.10009765625;4214053120.0
28;0.6338855445963711;1072.576171875;12352584704.0
29;0.650510380115654;1023.871826171875;14120556544.0
30;0.647659464250063;1032.2237548828125;4075147520.0
31;0.6043222665782237;1159.185302734375;9176565760.0
32;0.6397250645196051;1055.4686279296875;2450539264.0
33;0.5746062281158264;1246.2420654296875;38074441728.0
34;0.6409759782761084;1051.803955078125;15197272064.0
35;0.651218082868312;1021.7985229492188;6194444288.0
36;0.6353165255212762;1068.384033203125;18276595712.0
37;0.6195933194511227;1114.4468994140625;12655505408.0
38;0.6300583639064825;1083.788330078125;4064509184.0
39;0.6460416960097327;1036.96337890625;3738813440.0
40;0.601181387482101;1168.3868408203125;14745150464.0
41;0.5704877782340768;1258.3074951171875;3339204864.0
42;0.6309268928135033;1081.243896484375;8340752384.0
43;0.6374645329969477;1062.091064453125;8712674304.0
44;0.629137717083308;1086.4854736328125;6559535104.0
45;0.6401965478450895;1054.08740234375;10994353152.0
46;0.646594597882171;1035.343505859375;9322250240.0
47;0.553722553373166;1307.4234619140625;7874828288.0
48;0.6115612302314785;1137.97802734375;1550870784.0
49;0.5986828933179764;1175.70654296875;6788584448.0
